   55.5    -0.47  21.873  -0.5079
   55.6    -0.43  21.916  -0.5106
   55.7    -0.24  21.958  -0.5117
   55.8    -0.20  21.997  -0.5125
   55.9    -0.05  22.038  -0.5117
   55.8    -0.56  22.082  -0.5182
   56.1    -0.27  22.125  -0.5277
   56.2    -0.47  22.167  -0.5171
   56.2    -0.43  22.208  -0.5113
   56.5    -0.25  22.248  -0.5139
   56.4    -0.31  22.290  -0.5117
   56.7     0.09  22.331  -0.5010
   56.7    -0.55  22.372  -0.5064
   56.6    -0.36  22.414  -0.5073
   56.8    -0.34  22.454  -0.4978
   56.7    -0.59  22.494  -0.4951
   56.9    -0.32  22.537  -0.4712
   56.9    -0.30  22.578  -0.4278
   57.1    -0.52  22.618  -0.4235
   57.2    -0.35  22.660  -0.4259
   57.4     0.01  22.700  -0.4180
   57.5    -0.11  22.741  -0.4398
   57.6    -0.37  22.781  -0.4438
   57.5    -0.36  22.822  -0.4313
   57.7     0.01  22.865  -0.4275
   57.9    -0.40  22.905  -0.4174
   57.9    -0.42  22.944  -0.4157
   58.1     0.13  22.986  -0.4144
   58.0    -0.44  23.027  -0.4176
   58.1    -0.33  23.068  -0.4276
   58.2    -0.43  23.111  -0.4416
   58.4    -0.21  23.155  -0.4517
   58.5    -0.17  23.196  -0.4461
   58.6    -0.47  23.239  -0.4666
   58.9    -0.01  23.282  -0.4488
   58.7    -0.38  23.326  -0.4504
   58.9    -0.52  23.372  -0.4429
   59.0    -0.13  23.414  -0.4401
   59.1    -0.28  23.457  -0.4481
   59.4     0.17  23.498  -0.4321
   59.3    -0.19  23.538  -0.4368
   59.4    -0.39  23.583  -0.4405
   59.4    -0.55  23.625  -0.4446
   59.5    -0.45  23.669  -0.4430
   59.7     0.19  23.710  -0.4443
   59.8    -0.38  23.752  -0.4545
   60.0     0.00  23.793  -0.4150
   60.1    -0.36  23.837  -0.4050
   60.1    -0.56  23.878  -0.3975
   60.1    -0.42  23.921  -0.3801
   60.2    -0.29  23.962  -0.4157
   60.3    -0.45  24.004  -0.4370
   60.4    -0.42  24.046  -0.4392
   60.4    -0.45  24.086  -0.4642
   60.6    -0.25  24.127  -0.4594
   60.5    -0.79  24.171  -0.4501
   60.8    -0.23  24.211  -0.4512
   60.9    -0.01  24.255  -0.4452
   60.9    -0.13  24.296  -0.4675
   61.0    -0.48  24.335  -0.4611
   61.1    -0.22  24.374  -0.4611
   61.3    -0.29  24.417  -0.4646
   61.2    -0.61  24.458  -0.4705
   61.3    -0.57  24.498  -0.4719
   61.5    -0.37  24.540  -0.4642
   61.7    -0.12  24.580  -0.4469
   61.7    -0.40  24.620  -0.4441
   61.7    -0.50  24.663  -0.4528
   61.8    -0.40  24.704  -0.4411
   62.0    -0.26  24.744  -0.4468
   62.0    -0.51  24.785  -0.4640
   62.1    -0.58  24.823  -0.4781
   62.3     0.02  24.865  -0.4972
   62.3    -0.43  24.906  -0.5034
   62.3    -0.76  24.948  -0.5104
   62.6    -0.29  24.991  -0.5056
   62.6    -0.25  25.034  -0.5013
   62.6    -0.43  25.078  -0.4998
   63.0    -0.19  25.124  -0.4938
   62.9    -0.24  25.167  -0.4906
   63.0    -0.18  25.210  -0.4910
   63.0    -0.21  25.253  -0.4995
   63.2    -0.53  25.297  -0.4932
   63.3    -0.37  25.340  -0.4955
   63.4    -0.41  25.383  -0.5008
   63.6    -0.48  25.426  -0.4985
   63.5    -0.70  25.468  -0.4871
   63.6    -0.50  25.511  -0.4760
   63.7    -0.68  25.552  -0.4771
   63.8    -0.34  25.593  -0.4828
   64.0    -0.38  25.637  -0.4762
   63.8    -0.75  25.678  -0.4752
   64.3    -0.10  25.720  -0.4945
   64.2    -0.20  25.762  -0.4997
